User ID,Name,Total,Hunt,Purchase, ,L1 (Hunt),L2 (Hunt),L3 (Hunt),L4 (Hunt),L5 (Hunt), ,L1 (Purchase),L2 (Purchase),L3 (Purchase),L4 (Purchase),L5 (Purchase), ,Points (Hunt),Goal Percentage (Hunt), ,Points (Purchase),Goal Percentage (Purchase), ,First Hunt Time,Last Hunt Time
967686710,PocoUsa,12,12,0,,0,10,2,0,0,,0,0,0,0,0,,16,53%,,0,0%,,2022/04/04 10:52:43,2022/09/04 19:21:34
471654581,Polvilho,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 05:31:37,2022/09/04 18:56:50
568231312,Shieppe,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 03:27:55,2022/09/04 20:37:44
580354505,Siqueiraa,18,18,0,,0,18,0,0,0,,0,0,0,0,0,,18,60%,,0,0%,,2022/04/04 21:49:53,2022/09/04 10:14:47
457348159,Sonseriine,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 02:03:02,2022/09/04 20:14:58
664170852,SPa NuBank,21,21,0,,0,21,0,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/04/04 13:21:21,2022/09/04 18:25:38
759230522,SugarWeide,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 08:59:50,2022/09/04 16:11:49
691262844,SugarWeige,13,13,0,,0,1,12,0,0,,0,0,0,0,0,,37,123%,,0,0%,,2022/04/04 08:29:18,2022/09/04 18:43:22
659010473,Tapiioca,30,30,0,,0,30,0,0,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 02:06:17,2022/09/04 18:47:54
1241987627,Trufinha,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0%,,0,0%,,0001/01/01 00:00:00,0001/01/01 00:00:00
600653385,Vanelloppe,39,39,0,,0,38,1,0,0,,0,0,0,0,0,,41,137%,,0,0%,,2022/04/04 02:32:09,2022/09/04 20:34:47
581606966,w Daenerys w,46,46,0,,0,46,0,0,0,,0,0,0,0,0,,46,153%,,0,0%,,2022/04/04 02:41:46,2022/09/04 18:51:48
693916035,xJINJER,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 02:37:24,2022/09/04 20:16:03
563912564,XL Condosele,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 02:56:00,2022/09/04 17:29:14
594868405,xNEMESIS,1,1,0,,0,1,0,0,0,,0,0,0,0,0,,1,3%,,0,0%,,2022/09/04 11:04:06,2022/09/04 11:04:06
580266194,a Merlin,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0%,,0,0%,,0001/01/01 00:00:00,0001/01/01 00:00:00
702387686,Coxiinha,24,24,0,,0,24,0,0,0,,0,0,0,0,0,,24,80%,,0,0%,,2022/04/04 09:31:45,2022/09/04 19:05:21
757103940,DarkLoko,10,10,0,,0,4,5,1,0,,0,0,0,0,0,,25,83%,,0,0%,,2022/04/04 23:52:32,2022/08/04 07:54:09
610375263,Kuruyami LM,2,2,0,,0,2,0,0,0,,0,0,0,0,0,,2,7%,,0,0%,,2022/05/04 10:12:53,2022/06/04 20:04:58
0,Anonymous,15,0,15,,0,0,0,0,0,,12,3,0,0,0,,0,0%,,18,36%,,2022/04/04 03:53:19,2022/09/04 06:14:07
615220774,Marcelline,22,22,0,,0,18,4,0,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 04:29:21,2022/05/04 23:12:02
610617121,VinO 91,16,16,0,,0,16,0,0,0,,0,0,0,0,0,,16,53%,,0,0%,,2022/04/04 18:21:14,2022/08/04 17:58:23
